Reading Airport file from airports.txt
Read Airports: There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Read Routes: There were 68292 routes with IATA code
Calculating Page Rank
PageRank Result:
404 : 0.00049466046882 -> Ciampino, Italy
405 : 0.000492762856859 -> Borg El Arab Intl, Egypt
406 : 0.000492038104388 -> Santo Pekoa International Airport, Vanuatu
407 : 0.000491762502541 -> Alfonso Bonilla Aragon Intl, Colombia
408 : 0.000490810285752 -> Xining Caojiabu Airport, China
409 : 0.000488316194876 -> Inuvik Mike Zubko, Canada
410 : 0.000487963072968 -> Belfast Intl, United Kingdom
411 : 0.000486468366672 -> Rarotonga Intl, Cook Islands
412 : 0.000486342101019 -> Las Americas Intl, Dominican Republic
413 : 0.000482206105991 -> Ahmedabad, India
414 : 0.000480503794703 -> Guam Intl, Guam
415 : 0.000479851822572 -> Landvetter, Sweden
416 : 0.000475686487569 -> Nurnberg, Germany
417 : 0.000474976482934 -> Gimpo, South Korea
418 : 0.00047279271504 -> Kigali Intl, Rwanda
419 : 0.000470789919629 -> Nausori Intl, Fiji
420 : 0.000469691734757 -> Lokpriya Gopinath Bordoloi International Airport, India
421 : 0.000468306405087 -> Sangster Intl, Jamaica
422 : 0.000467743964744 -> Campo Dell Oro, France
423 : 0.000467254877459 -> Male Intl, Maldives
424 : 0.000465567526799 -> Wuxi Airport, China
425 : 0.000465229543687 -> Mwalimu Julius K Nyerere Intl, Tanzania
426 : 0.000465215422478 -> Souda, Greece
427 : 0.00046510147226 -> Beijing Nanyuan Airport, China
428 : 0.000464483491307 -> Vityazevo, Russia
429 : 0.000462800715969 -> Myrtle Beach Intl, United States
430 : 0.000462383240857 -> Jacksonville Intl, United States
431 : 0.000460783274729 -> Cadjehoun, Benin
432 : 0.00045833731607 -> Lech Walesa, Poland
433 : 0.000457586316522 -> Zhuliany Intl, Ukraine
434 : 0.000456608982488 -> Esfahan Shahid Beheshti Intl, Iran
435 : 0.000454912129192 -> Neuenland, Germany
436 : 0.000453490717764 -> Chiang Mai Intl, Thailand
437 : 0.000453479581765 -> Kuujjuaq, Canada
438 : 0.000452895350137 -> Zvartnots, Armenia
439 : 0.000452549206251 -> Sharm El Sheikh Intl, Egypt
440 : 0.000449898773207 -> Entebbe Intl, Uganda
441 : 0.000448666935962 -> Manas, Kyrgyzstan
442 : 0.000447076648976 -> Jersey, Jersey
443 : 0.000446050764219 -> Louisville International Airport, United States
444 : 0.000445603573443 -> Santa Genoveva, Brazil
445 : 0.000444562331779 -> Prince Mohammad Bin Abdulaziz, Saudi Arabia
446 : 0.000443868714552 -> Will Rogers World, United States
447 : 0.000443608701489 -> Eros Airport, Namibia
448 : 0.0004427050978 -> Kuching Intl, Malaysia
449 : 0.000441735617255 -> Cardiff, United Kingdom
450 : 0.000441308928268 -> Red Lake Airport, Canada
451 : 0.000441074708929 -> Tobias Bolanos International Airport, Costa Rica
452 : 0.00044005187685 -> Ilulissat, Greenland
453 : 0.00043851273933 -> Ahwaz, Iran
454 : 0.000436672830134 -> Hang Nadim, Indonesia
455 : 0.000433163075269 -> Southampton, United Kingdom
456 : 0.000432572031499 -> Ouagadougou, Burkina Faso
457 : 0.000432568405417 -> Firenze, Italy
458 : 0.000432331558873 -> Skavsta, Sweden
459 : 0.000431012043299 -> Bodrum - Milas, Turkey
460 : 0.000430538781958 -> Bradley Intl, United States
461 : 0.000429757449672 -> Hercilio Luz, Brazil
462 : 0.000429078139848 -> Dyce, United Kingdom
463 : 0.000427949376212 -> V C Bird Intl, Antigua and Barbuda
464 : 0.00042620610779 -> Unalakleet Airport, United States
465 : 0.00042524216525 -> Bodo, Norway
466 : 0.000424859428356 -> Thiruvananthapuram Intl, India
467 : 0.00042462472302 -> Zagreb, Croatia
468 : 0.000424432614997 -> Harare Intl, Zimbabwe
469 : 0.000421829290569 -> Licenciado Gustavo Diaz Ordaz Intl, Mexico
470 : 0.000421241459114 -> Yakutsk, Russia
471 : 0.000421144107636 -> Jose Maria Cordova, Colombia
